electkwh;heatingkwh;hw_usage_h;heating;hotwaterkwh;ev_usage_h;d_ev_kwh;PV_generation;Temperature;p_buy;p_sell;b_soc_max_kWh;SOC_b_0_percent;T_hw_0;hp_max_power;hw_tankSize;T_supply_max;hw_soc_min;fh_size;fh_eff;T_i_0;T_i_min;T_i_buffer;curve_level;curve_slope;otherDevice_P;otherDevice_SOC;OD_running_hours;ev_soc_norm;ev_b_size;ev_charge_rate;ev_soc_0;p_min;OptimizerPeriods;CO;p_gas;CO_0;hp_type;b_soc_min
0.500;0;1;1;0.625;13;0.000;0;17.5;0.43791;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;2;2;0.625;14;0.000;0;17.0;0.43095;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;3;3;0.625;15;0.000;0;16.6;0.40534;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;4;4;0.625;26;0.000;0;15.8;0.37947;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;13;10;0.000;27;0.000;0;15.5;0.38771;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;14;11;0.000;28;0.000;0;15.4;0.38435;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;15;12;0.000;48;0.000;0;14.9;0.38688;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;16;13;0.000;;0.000;0;14.1;0.39033;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;17;14;0.000;;0.000;0;13.5;0.39898;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;18;15;0.000;;0.000;0;12.9;0.41596;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;19;16;0.000;;0.000;0;12.1;0.44800;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;20;17;0.000;;0.000;0.149;11.8;0.47310;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;21;18;0.625;;6.728;0.695;12.4;0.46134;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;22;19;0.625;;6.728;2.609;13.6;0.41723;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;23;20;0.625;;6.639;3.016;15.0;0.37128;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;24;21;0.625;;0.000;2.733;15.8;0.32273;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;25;22;0.625;;0.000;3.315;16.6;0.28830;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;26;23;0.625;;0.000;3.712;18.1;0.27581;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;27;24;0.625;;0.000;3.694;18.3;0.30629;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;28;25;0.625;;0.000;4.991;18.7;0.33714;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;37;26;0.625;;0.000;4.971;19.3;0.37506;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;38;27;0.625;;0.000;2.339;19.3;0.42070;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;39;28;0.625;;0.000;0.972;18.6;0.49460;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;40;34;0.625;;0.000;0.298;17.5;0.74552;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;41;35;0.625;;0.000;0;15.9;0.43791;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;42;36;0.625;;11.596;0;15.1;0.43095;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;43;37;0.625;;11.596;0;14.5;0.40534;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;44;38;0.625;;5.448;0;13.8;0.37947;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;45;39;0.000;;0.000;0;13.4;0.38771;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;46;40;0.000;;0.000;0;12.6;0.38435;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;47;41;0.000;;0.000;0;12.4;0.38688;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;48;42;0.000;;0.000;0;11.9;0.39033;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;43;0.000;;0.000;0;11.3;0.39898;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;44;0.000;;0.000;0;10.6;0.41596;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;45;0.000;;0.000;0;10.2;0.44800;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;46;0.000;;0.000;0.214;10.0;0.47310;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;47;0.625;;0.000;0.714;11.2;0.46134;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;48;0.625;;0.000;2.837;13.1;0.41723;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;;0.625;;0.000;3.976;15.6;0.37128;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
0.500;0;;;0.625;;0.000;3.918;18.0;0.32273;0.09;9.5;98.0;59.5;3;300;60;44.0;180;120;20.245;20;0.3;0;0.5;0;0.0;0;0.10;80;11.04;0.3;0.11;48;no;0.1;0;Air-Water;10
