Temp_FH,T_i,T_i_Target,T_HW,SOC_B,SOC_EV,SOC_Other,costs_opt,profits_opt,profits_net_opt,X_sum,GR_sum,COP,PV_DE,B_DE,GR_DE,PV_B,PV_GR,PV_HP,GR_HP,B_HP,HP_FH,HP_HW,PV_OD,B_OD,GR_OD,GR_B,PV_EV,B_EV,GR_EV,EV_sum,CO_DE,CO_B,CO_GR,CO_HP,CO_OD,CO_EV,OD_Power,Mod_fh,Mod_hw,ev_norm,ev_plugged,CO_On,CO_HW,PV_sum_44,B_sum_in_45,B_sum_out_46
20.004,20.245,19.4,59.5,98.0,0.3,0.0,0.169,-0.0,0.169,5.136,0.386,5.138,0.0,0.353,0.147,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397,0.239,4.635,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.525,0.0,0.0,4.75
20.007,20.23,19.3,57.585,43.653,0.351,100000.0,0.0,-0.0,0.0,0.501,0.001,5.138,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.5
20.007,20.214,19.2,55.677,37.928,0.351,100000.0,0.0,-0.0,0.0,0.501,0.001,5.138,0.0,0.499,0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.5
20.009,20.199,19.0,53.774,32.209,0.351,100000.0,0.19,-0.0,0.19,0.501,0.5,5.138,0.0,0.001,0.499,0.0,-0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.001
20.008,20.184,18.9,51.877,32.195,0.351,100000.0,0.193,-0.0,0.193,0.501,0.497,5.138,0.0,0.004,0.496,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.004
20.009,20.169,18.9,51.784,32.149,0.351,100000.0,0.192,-0.0,0.192,0.501,0.499,5.138,0.0,0.002,0.498,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.002
20.009,20.154,18.7,51.692,32.126,0.351,100000.0,0.193,-0.0,0.193,0.501,0.498,5.138,0.0,0.003,0.497,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.003
20.008,20.138,18.5,51.599,32.09,0.351,100000.0,0.168,-0.0,0.168,0.501,0.43,5.138,0.0,0.071,0.429,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.071
20.008,20.123,18.4,51.507,31.273,0.351,100000.0,0.001,-0.0,0.001,0.501,0.002,5.138,0.0,0.499,0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.499
20.007,20.108,18.2,51.415,25.561,0.351,100000.0,0.0,-0.0,0.0,0.501,0.001,5.138,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.5
20.006,20.093,18.0,51.323,19.838,0.351,100000.0,0.0,-0.0,0.0,0.501,0.0,5.105,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.5
20.007,20.075,18.0,51.231,14.113,0.351,100000.0,0.0,0.0,0.0,0.501,0.0,5.09,0.141,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.142,0.0,0.359
22.088,20.056,19.1,51.14,10.003,0.351,100000.0,0.0,0.0,0.0,0.66,0.0,5.016,0.5,0.0,0.0,0.001,0.0,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.525,0.66,0.001,0.001
29.187,20.048,23.0,49.252,10.004,0.267,100000.0,0.0,0.0,0.0,1.227,0.0,4.679,0.5,0.0,0.0,1.252,0.0,0.727,0.0,0.0,0.725,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.525,2.479,1.252,0.0
29.187,20.072,23.3,47.382,22.126,0.183,100000.0,0.0,0.0,0.0,1.228,0.0,4.679,0.5,0.0,0.0,1.637,0.0,0.728,0.0,0.0,0.725,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.242,0.001,0.0,0.0,0.0,0.525,2.865,1.637,0.0
29.185,20.095,23.5,45.535,37.977,0.1,100000.0,0.0,0.0,0.0,1.406,0.001,4.679,0.5,0.0,0.0,1.191,0.0,0.905,0.0,0.0,0.725,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.242,0.06,0.0,0.0,0.0,0.525,2.596,1.191,0.0
27.095,20.119,22.7,45.743,49.509,0.1,100000.0,2.58,0.0,2.58,12.097,8.949,4.784,0.242,0.0,0.258,0.001,0.0,0.27,0.29,0.0,0.548,0.012,0.0,0.0,0.0,0.001,2.637,0.0,8.4,11.038,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.183,0.004,0.0,1.0,0.0,0.525,3.149,0.002,0.001
29.186,20.134,24.1,44.005,49.514,0.226,100000.0,3.619,0.0,3.619,12.688,13.122,4.679,0.234,0.0,0.266,1.161,0.0,0.493,0.655,0.0,0.725,0.423,0.0,0.0,0.0,2.8,1.638,0.0,9.401,11.039,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.242,0.141,0.0,1.0,0.0,0.525,3.526,3.962,0.001
26.359,20.157,22.8,47.155,87.872,0.352,100000.0,0.001,0.0,0.001,3.512,0.002,4.82,0.499,0.0,0.001,0.001,0.0,0.49,0.001,0.0,0.487,0.003,0.0,0.0,0.0,0.0,2.52,0.0,0.001,2.521,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.162,0.001,0.0,1.0,0.0,0.525,3.509,0.001,0.001
26.358,20.169,22.9,45.314,87.868,0.378,100000.0,0.0,0.0,0.0,4.742,0.001,4.82,0.499,0.0,0.0,0.001,0.0,0.534,0.0,0.0,0.487,0.047,0.0,0.0,0.0,0.0,3.707,0.0,0.0,3.708,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.162,0.016,0.0,1.0,0.0,0.525,4.741,0.001,0.001
26.356,20.18,23.0,44.014,87.862,0.419,100000.0,0.0,0.0,0.0,4.723,0.0,4.821,0.5,0.0,0.0,0.001,0.0,0.639,0.0,0.0,0.487,0.152,0.0,0.0,0.0,0.0,3.583,0.0,0.0,3.584,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.162,0.051,0.0,1.0,0.0,0.525,4.722,0.001,0.001
26.887,20.192,23.3,44.01,87.856,0.458,100000.0,0.0,0.0,0.0,2.222,0.0,4.794,0.5,0.0,0.0,0.001,0.0,1.722,0.0,0.0,0.531,1.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.177,0.397,0.0,0.0,0.0,0.525,2.222,0.001,0.001
25.498,20.206,22.4,55.746,87.854,0.458,100000.0,0.0,0.0,0.0,0.924,0.0,4.863,0.5,0.0,0.0,0.0,0.0,0.423,0.0,0.0,0.418,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.139,0.002,0.0,0.0,0.0,0.525,0.923,0.0,0.001
21.103,20.214,19.9,53.904,87.848,0.458,100000.0,0.0,0.0,0.0,0.581,0.0,5.083,0.242,0.258,0.0,0.0,0.0,0.04,0.0,0.041,0.08,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.525,0.283,0.0,0.298
21.083,20.203,19.5,52.016,84.433,0.458,100000.0,0.0,-0.0,0.0,0.58,0.0,5.084,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.08,0.079,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.58
21.081,20.192,19.3,50.134,77.799,0.458,100000.0,0.0,-0.0,0.0,0.58,0.0,5.084,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.08,0.079,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.525,-0.0,0.0,0.58
21.08,20.182,19.2,48.261,71.163,0.313,100000.0,0.0,-0.0,0.0,0.58,0.0,5.084,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.08,0.078,0.002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.026,0.001,0.0,0.0,0.0,0.525,0.0,0.0,0.58
21.079,20.171,19.0,46.4,64.523,0.168,100000.0,0.0,0.0,0.0,0.581,0.0,5.084,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.081,0.078,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.026,0.001,0.0,0.0,0.0,0.525,0.0,0.0,0.581
21.078,20.16,18.9,44.557,57.874,0.1,100000.0,0.0,-0.0,0.0,0.583,0.0,5.084,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.083,0.078,0.005,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.026,0.002,0.0,0.0,0.0,0.525,-0.0,0.0,0.583
20.997,20.149,18.6,44.536,51.206,0.1,100000.0,0.0,-0.0,0.0,0.577,0.0,5.08,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.077,0.074,0.004,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.025,0.001,0.0,0.0,0.0,0.525,-0.0,0.0,0.577
20.9,20.138,18.6,44.502,44.603,0.1,100000.0,0.0,-0.0,0.0,0.572,0.0,5.075,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.072,0.068,0.004,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.023,0.001,0.0,0.0,0.0,0.525,-0.0,0.0,0.572
20.667,20.125,18.3,44.47,38.063,0.1,100000.0,0.0,-0.0,0.0,0.556,0.0,5.062,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.056,0.053,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.018,0.001,0.0,0.0,0.0,0.525,0.0,0.0,0.556
20.412,20.11,18.0,44.435,31.701,0.1,100000.0,0.0,-0.0,0.0,0.537,0.0,5.044,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.037,0.034,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.011,0.001,0.0,0.0,0.0,0.525,-0.0,0.0,0.537
20.193,20.091,17.7,44.395,25.555,0.1,100000.0,0.0,-0.0,0.0,0.52,0.0,5.02,0.0,0.5,0.0,0.0,-0.0,0.0,0.0,0.019,0.017,0.003,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.006,0.001,0.0,0.0,0.0,0.525,-0.0,0.0,0.519
